biceps,triceps,t
-0.00611377460882068,-8.58728162711486E-05,1713350786.88087
-0.00616731261834502,-0.000152633409015834,1713350786.88257
-0.00622186064720154,-0.000177875976078212,1713350786.90935
-0.00610882230103016,-0.000268100120592862,1713350786.91078
-0.00625140639021993,-0.000180400238605216,1713350786.96152
-0.00603155605494976,-0.000196723762201145,1713350786.96365
-0.00614889757707715,-0.000181890747626312,1713350786.98243
-0.0060913204215467,-0.000221317241084762,1713350786.98341
-0.0060977153480053,-0.00022896213340573,1713350787.02905
-0.00613774312660098,-0.00018689117860049,1713350787.06044
-0.00614214222878218,-0.000196315071661957,1713350787.06216
-0.00616190349683166,-0.000188934631296434,1713350787.06364
-0.00622279848903418,-0.000196098713786341,1713350787.11679
-0.00616272119805217,-0.000224755029194057,1713350787.11789
-0.00616702437400818,-0.000193189800484106,1713350787.16665
-0.00616591842845082,-0.000182636009412818,1713350787.16747
-0.00618471810594201,-0.00016537489136681,1713350787.20534
-0.0061603169888258,-0.000181914787390269,1713350787.20691
-0.0061795492656529,-0.000206916956813075,1713350787.2329
-0.00617539044469595,-0.000170735933352262,1713350787.23463
-0.00617202464491129,-0.000122414450743236,1713350787.2615
-0.0061902953311801,-0.000252257421379909,1713350787.26373
-0.00619637779891491,-0.000199320144020021,1713350787.33688
-0.00619589723646641,-0.000181289738975465,1713350787.33853
-0.0062112589366734,-0.000204128256882541,1713350787.36892
-0.00620548939332366,-0.000196964174392633,1713350787.3707
-0.00619272375479341,-0.000193983141798526,1713350787.40934
-0.00618928577750921,-0.000225139679969288,1713350787.4108
-0.0061781071126461,-0.000232880745898001,1713350787.43727
-0.00618154462426901,-0.000233433675020933,1713350787.43898
-0.0061749336309731,-0.000227255251957104,1713350787.46505
-0.00618039071559906,-0.00023434721515514,1713350787.4665
-0.00618678564205766,-0.000237905216636136,1713350787.51747
-0.00617099087685347,-0.000230380523134954,1713350787.51913
-0.00617760233581066,-0.000232856691582128,1713350787.53885
-0.00618048710748553,-0.000248074356932193,1713350787.53933
-0.00616829842329025,-0.000239564004004933,1713350787.62461
-0.00616209581494331,-0.000251680437941104,1713350787.6261
-0.00616548582911491,-0.000244516355451196,1713350787.63263
-0.00615916308015585,-0.000242953727138229,1713350787.63366
-0.00617577508091927,-0.000253531557973474,1713350787.66101
-0.00609108014032245,-0.000207277567824349,1713350787.66194
-0.00615820148959756,-0.000249396602157503,1713350787.71339
-0.00616159103810787,-0.000261464942013845,1713350787.7155
-0.00612879963591695,-0.000213744468055665,1713350787.80236
-0.00616930797696114,-0.000259469583397731,1713350787.80351
-0.00615512439981103,-0.000248795578954741,1713350787.81313
-0.00611911155283451,-0.000240790075622499,1713350787.81434
-0.00597599800676107,-0.000206532306037843,1713350787.83688
-0.00605146121233702,-0.000214946499909274,1713350787.83825
-0.00639488035812974,-0.000337168603437021,1713350787.90887
-0.00609807623550296,-0.000282284046988934,1713350787.9103
-0.00588000426068902,-0.000218985311221331,1713350787.91718
-0.00592731591314077,-0.000204753305297345,1713350787.91873
-0.00642673438414931,-0.000340967031661421,1713350787.94068
-0.00602720445021987,-0.000277379789622501,1713350787.94173
-0.00582237914204598,-0.000210138387046754,1713350788.00535
-0.00579091021791101,-0.000210450918530114,1713350788.007
-0.00611983286216855,-0.000265311420662329,1713350788.0169
-0.00581386871635914,-0.000187059471500106,1713350788.01843
-0.00546602625399828,-0.000156407768372446,1713350788.07313
-0.00586365675553679,-0.000278317369520664,1713350788.07475
-0.00589644815772772,-0.00018472752708476,1713350788.10921
-0.00588930817320943,-0.000221221082028933,1713350788.11062
-0.00573328463360667,-0.000264614267507568,1713350788.20111
-0.00528944842517376,-7.16408158041304E-06,1713350788.20277
-0.00631283037364483,-0.000322816398693249,1713350788.24951
-0.00609641708433628,-0.000269470445346087,1713350788.25071
-0.00562515063211322,-0.000160446579684503,1713350788.28947
-0.00602804590016604,-0.000281683052890003,1713350788.29113
-0.00578742427751422,-0.000185088138096035,1713350788.31274
-0.00551502080634236,-0.000148185907164589,1713350788.31436
-0.00559084443375468,-0.00020126742310822,1713350788.35714
-0.00627400493249297,-0.000326855224557221,1713350788.35888
-0.00592709984630346,-0.000269470445346087,1713350788.3696
-0.00585815124213696,-0.000227086973609403,1713350788.37068
-0.00541606964543462,-0.000177683657966554,1713350788.37673
-0.00541893066838384,-0.000195521730347537,1713350788.37804
-0.00623005861416459,-0.000273605430265889,1713350788.46494
-0.00592409446835518,-0.000240645837038755,1713350788.46635
-0.00570962904021144,-0.000182563890120946,1713350788.53695
-0.00580485351383686,-0.000288991373963654,1713350788.53819
-0.00595270283520222,-0.000215571548324078,1713350788.5532
-0.00603386387228966,-0.000272956327535212,1713350788.55465
-0.00589736131951213,-0.00024439615663141,1713350788.5616
-0.00583798158913851,-0.000243266258621588,1713350788.56276
-0.0059909513220191,-0.000264710426563397,1713350788.60121
-0.00600453419610858,-0.000276081584161147,1713350788.60265
-0.00602129055187106,-0.000319234357448295,1713350788.65307
-0.00604569166898727,-0.000289952993625775,1713350788.65483
-0.0060666068457067,-0.000278485647868365,1713350788.68556
-0.00597955612465739,-0.000300170213449746,1713350788.68765
-0.00604191748425365,-0.000287861446850002,1713350788.75679
-0.00601342925801873,-0.000343058549333364,1713350788.75826
-0.0061973393894732,-0.000323489541187882,1713350788.77377
-0.0059143821708858,-0.0003199796192348,1713350788.77552
-0.00598515756428242,-0.000392389745684341,1713350788.79756
-0.00605485122650862,-0.00029476109193638,1713350788.79807
-0.0060629528015852,-0.000325196422636509,1713350788.82067
-0.00605910643935204,-0.000310579780489206,1713350788.82217
